Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R10,R30,R50,R54,R58,R59,R60,R64,R66,R68,R69,R8,R9",R_0402,C17168,13
100kΩ,"R1,R33,R7",R_0402,C25741,3
100nF,"C15,C16,C21,C23,C29,C30,C36,C39,C40,C46,C50,C52",C_0402,C1525,12
100pF,"C27,C28",C_0402,C1546,2
100Ω,"R70,R71",R_0402,C25076,2
10kΩ,"R11,R14,R16,R17,R22,R25,R31,R37,R4,R41,R49,R52,R53,R61,R62,R63,R72",R_0402,C25744,17
10nF,C8,C_0402,C15195,1
10uF,"C13,C20,C4,C47,C48,C7",C_0402,C15525,6
10uF,C55,C_0603,C19702,1
10uF,"C2,C34,C6",C_0603,C96446,3
13kΩ,R51,R_0603,C22797,1
1kΩ,"R18,R2",R_0402,C11702,2
1nF,C35,C_0402,C1523,1
1uF,"C19,C41,C42,C45,C5,C53,C57",C_0402,C52923,7
2.2kΩ,"R47,R48",R_0402,C25879,2
2.2uF,C1,C_0603,C23630,1
220pF,C44,C_0402,C1530,1
22kΩ,R38,R_0402,C25768,1
22uF,"C51,C56",C_0603,C59461,2
33pF,"C24,C9",C_0402,C1562,2
33Ω,"R15,R20,R34,R35,R43,R44,R45,R46,R5",R_0402,C25105,9
4.7uF,"C43,C54",C_0402,C23733,2
470Ω,R12,R_0402,C25117,1
47kΩ,"R23,R40",R_0402,C25792,2
5.1kΩ,"R13,R42",R_0402,C25905,2
510Ω,R32,R_0402,C25123,1
68nH,L2,L_0402,C32836,1
BQ25185DLHR,U7,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,C19725033,1
EVQPUC02K,"SW1,SW2",SW-SMD_EVQPUD02K,C79174,2
ICS-43432,U3,SENSOR-SMD_ICS-43432,C574021,1
L76KB-A58,U18,GPSM-SMD_18P-L10.1-W9.7-P1.10,C2916234,1
LED,"D2,D4,D5",LED_0603_1608Metric,C2286,3
MAX98357A,U19,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1
MCP23017_ML,U14,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,C629439,1
MHCI04020-2R2M-R8,U9,IND-SMD_L4.6-W4.1,C142096,1
Micro_SD_Card_Det1,J1,TF-SMD_TF-01A,C91145,1
RA-01SH-P,U17,COMM-SMD_17P-L17.0-W16.0-P2.00_RA-01S-P,C42420049,1
SK-12D02-VG5,U5,SW-TH_SK-12D02-VG5,C136722,1
TLV62569DBV,U12,SOT-23-5,C141836,1
TPS22917LDBV,U8,SOT-23-6,C3235537,1
"Tactile Button, 160gf","FLASH1,RESET1",SW_TS-1088-AR02016,C720477,2
U.FL,J8,IPEX-SMD_BWIPX-1-001E,C5137195,1
USBLC6-2P6,U6,SOT-666,C15999,1
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C19274016,1
XC6206P332MR,U10,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5446,1
Conn_01x14_Pin,J4,PinSocket_1x14_P2.54mm_Vertical,,1
Conn_01x04_Pin,J3,PinSocket_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J6,PinSocket_1x04_P2.54mm_Vertical,,1
