Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603,116.3,-113.6,-90.0,top
C13,10uF,C_0402,116.65,-118.65,0.0,top
C15,100nF,C_0402,125.3,-101.2,180.0,top
C16,100nF,C_0402,117.75,-113.3,-90.0,top
C19,1uF,C_0402,117.5,-82.2,90.0,top
C2,10uF,C_0603,117.5,-108.9,90.0,top
C20,10uF,C_0402,161.5,-112.85,90.0,top
C21,100nF,C_0402,154.1,-76.35,90.0,top
C23,100nF,C_0402,162.5,-112.85,90.0,top
C24,33pF,C_0402,163.5,-112.85,90.0,top
C27,100pF,C_0402,182.05,-113.2801,0.0,top
C28,100pF,C_0402,180.56,-109.56,90.0,top
C29,100nF,C_0402,179.45,-110.53,-90.0,top
C30,100nF,C_0402,144.05,-107.22,90.0,top
C34,10uF,C_0603,119.5,-115.6,-90.0,top
C35,1nF,C_0402,122.4187,-107.3875,90.0,top
C36,100nF,C_0402,172.3,-82.65,90.0,top
C37,10uF,C_0603,116.375,-97.4,-90.0,top
C39,100nF,C_0402,150.65,-94.05,0.0,top
C4,10uF,C_0402,113.0,-83.0,90.0,top
C40,100nF,C_0402,162.15,-110.2,-90.0,top
C41,1uF,C_0402,157.0,-106.4,180.0,top
C42,1uF,C_0402,115.05,-113.3,-90.0,top
C43,4.7uF,C_0402,161.15,-110.2,90.0,top
C44,220pF,C_0402,166.72,-121.56,90.0,top
C45,1uF,C_0402,167.74,-121.56,90.0,top
C46,100nF,C_0402,134.14,-115.07,-90.0,top
C47,10uF,C_0402,133.1525,-115.0725,-90.0,top
C48,10uF,C_0402,132.18,-115.07,-90.0,top
C5,1uF,C_0402,159.55,-111.2,-90.0,top
C50,100nF,C_0402,118.5,-82.2,-90.0,top
C51,22uF,C_0603,115.55,-82.7,180.0,top
C52,100nF,C_0402,159.25,-81.25,0.0,top
C53,1uF,C_0402,113.45,-108.85,90.0,top
C54,4.7uF,C_0402,115.83,-103.61,-90.0,top
C56,22uF,C_0603,110.9,-83.3,180.0,top
C57,1uF,C_0402,119.5,-84.4,-90.0,top
C6,10uF,C_0603,120.85,-115.6,-90.0,top
C7,10uF,C_0402,171.25,-82.65,90.0,top
C8,10nF,C_0402,119.5,-82.2,90.0,top
C9,33pF,C_0402,163.15,-110.2,-90.0,top
D2,LED,LED_0603_1608Metric,115.4,-85.9,90.0,top
D4,LED,LED_0603_1608Metric,115.2,-105.85,180.0,top
D5,LED,LED_0603_1608Metric,110.45,-115.4,180.0,top
FLASH1,"Tactile Button, 160gf",SW_TS-1088-AR02016,156.44,-77.665,90.0,top
H1,MountingHole,MountingHole_3mm,184.95,-121.29,0.0,top
H2,MountingHole,MountingHole_3mm,108.88,-77.29,0.0,top
H3,MountingHole,MountingHole_3mm,184.95,-77.29,0.0,top
H4,MountingHole,MountingHole_3mm,108.87,-121.28,0.0,top
J1,Micro_SD_Card_Det1,TF-SMD_TF-01A,145.099987,-114.925,0.0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,124.69,-121.09,0.0,top
J3,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,160.39,-122.09,90.0,top
J4,Conn_01x14_Pin,PinSocket_1x14_P2.54mm_Vertical,103.925,-99.29,180.0,top
J6,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,184.975,-99.285,0.0,top
J8,U.FL,IPEX-SMD_BWIPX-1-001E,184.9875,-113.3,0.0,top
JP3,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,128.6175,-111.5775,90.0,top
L2,68nH,L_0402,182.21,-110.06,0.0,top
P1,1_25T-1-2A,CONN-TH_1.25T-1-2A,115.539,-120.854,0.0,top
P2,1_25T-1-2A,CONN-TH_1.25T-1-2A,133.4252,-120.9,0.0,top
R1,100kΩ,R_0402,151.3,-79.3,0.0,top
R10,0Ω,R_0402,179.85,-85.75,0.0,top
R11,10kΩ,R_0402,174.3,-102.55,0.0,top
R12,470Ω,R_0402,114.0,-85.35,90.0,top
R13,5.1kΩ,R_0402,123.0,-116.12,90.0,top
R14,10kΩ,R_0402,140.75,-105.55,90.0,top
R15,33Ω,R_0402,158.65,-117.4,-90.0,top
R16,10kΩ,R_0402,139.55,-107.5,-90.0,top
R17,10kΩ,R_0402,146.05,-105.5,0.0,top
R18,1kΩ,R_0402,111.0,-114.1,180.0,top
R2,1kΩ,R_0402,115.5,-107.15,180.0,top
R20,33Ω,R_0402,156.2,-117.4,-90.0,top
R22,10kΩ,R_0402,155.4,-81.35,180.0,top
R23,47kΩ,R_0402,114.45,-118.65,180.0,top
R25,10kΩ,R_0402,147.35,-107.55,-90.0,top
R30,0Ω,R_0402,179.0,-113.3,0.0,top
R31,10kΩ,R_0402,106.35,-87.5,90.0,top
R32,510Ω,R_0402,112.65,-114.65,-90.0,top
R33,100kΩ,R_0402,112.5,-104.9,90.0,top
R34,33Ω,R_0402,124.2,-112.82,90.0,top
R35,33Ω,R_0402,125.22,-112.82,90.0,top
R37,10kΩ,R_0402,106.35,-110.2,90.0,top
R38,22kΩ,R_0402,111.4,-104.9,-90.0,top
R4,10kΩ,R_0402,147.6,-100.7,90.0,top
R40,47kΩ,R_0402,114.45,-117.6,0.0,top
R41,10kΩ,R_0402,110.0,-108.9,90.0,top
R42,5.1kΩ,R_0402,126.4,-116.13,90.0,top
R43,33Ω,R_0402,150.8,-80.8,-90.0,top
R44,33Ω,R_0402,165.6,-83.3,0.0,top
R45,33Ω,R_0402,163.6,-83.3,0.0,top
R46,33Ω,R_0402,161.55,-83.3,0.0,top
R47,2.2kΩ,R_0402,159.8,-117.4,-90.0,top
R48,2.2kΩ,R_0402,155.1,-117.4,-90.0,top
R49,10kΩ,R_0402,111.0,-112.2,90.0,top
R5,33Ω,R_0402,131.9,-108.8,-90.0,top
R50,0Ω,R_0402,119.7,-105.65,180.0,top
R51,13kΩ,R_0603,109.8,-111.8,90.0,top
R52,10kΩ,R_0402,111.8701,-108.85,-90.0,top
R53,10kΩ,R_0402,113.8,-114.65,90.0,top
R54,0Ω,R_0402,177.8,-110.05,180.0,top
R55,33Ω,R_0402,108.95,-84.9,180.0,top
R56,33Ω,R_0402,111.475,-88.675,180.0,top
R57,33Ω,R_0402,168.8,-102.6,180.0,top
R58,33Ω,R_0402,140.75,-107.575,-90.0,top
R59,33Ω,R_0402,141.2,-92.1,-90.0,top
R60,33Ω,R_0402,141.2,-94.6,-90.0,top
R61,10kΩ,R_0402,138.5,-107.5,90.0,top
R62,10kΩ,R_0402,106.35,-106.4,-90.0,top
R63,10kΩ,R_0402,169.8,-82.65,90.0,top
R64,33Ω,R_0402,130.9,-101.8,90.0,top
R65,33Ω,R_0402,132.2,-101.8,90.0,top
R7,100kΩ,R_0402,122.4187,-109.6875,90.0,top
R70,100Ω,R_0402,142.6,-87.0,-45.0,top
R71,100Ω,R_0402,141.9,-87.7,-45.0,top
R72,10kΩ,R_0402,118.5,-84.4,-90.0,top
R8,0Ω,R_0402,176.63,-106.15,-90.0,top
RESET1,"Tactile Button, 160gf",SW_TS-1088-AR02016,160.2,-77.675,90.0,top
SW1,EVQPUC02K,SW-SMD_EVQPUD02K,177.650012,-76.140127,90.0,top
SW2,EVQPUC02K,SW-SMD_EVQPUD02K,167.950112,-76.135927,90.0,top
U10,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,158.6,-108.15,180.0,top
U12,TLV62569DBV,SOT-23-5,113.0675,-102.16,90.0,top
