Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Manufacturer,Part,Voltage Rated,Tolerance,Capacitance,Temperature Coefficient,MNF PART NUMBER,Sim.Pins,Switch Length,Voltage Rating (Dc),With Lamp,Operating Force,Actuator/Cap Color,Mechanical Life,Strike Gundam,Circuit,Switch Height,Actuator Style,Switch Width,Contact Current,Operating Temperature,Mounting Style,Insulation Resistance,Pin Style,Resistance,Power(Watts),Type,Overload Voltage (Max),Operating Temperature Range,Field4,Number Of Outputs,Output Voltage,Dropout Voltage,Output Current,Output Type,Maximum Input Voltage,Output Polarity,Feature
C1,1,2.2uF,C_0603,,,,smt,16V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C23630,2585089,0.009USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A225KO8NNNC,16V,±10%,2.2uF,X5R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13, C20, C4, C47, C48, C7",6,10uF,C_0402,,,,smt,6.3V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15525,3940889,0.009USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A106MQ5NUNC,6.3V,±20%,10uF,X5R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C15, C16, C21, C23, C29, C30, C36, C39, C40, C46, C50, C52",12,100nF,C_0402,,,,smt,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1525,20208285,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B104KO5NNNC,16V,±10%,100nF,X7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C19, C41, C42, C45, C5, C53, C57",7,1uF,C_0402,,,,smt,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C52923,7021828,0.006USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A105KA5NQNC,25V,±10%,1uF,X5R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C2, C34, C37, C6",4,10uF,C_0603,,,,smt,25V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C96446,3388297,0.021USD,SMT,20,8,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A106MA8NRNC,25V,±20%,10uF,X5R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C24, C9",2,33pF,C_0402,,,,smt,50V 33pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1562,404899,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",FH(Guangdong Fenghua Advanced Tech),0402CG330J500NT,50V,±5%,33pF,C0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C27, C28",2,100pF,C_0402,,,,smt,50V 100pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1546,2554383,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",FH(Guangdong Fenghua Advanced Tech),0402CG101J500NT,50V,±5%,100pF,C0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C35,1,1nF,C_0402,,,,smt,50V 1nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1523,4702397,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",FH(Guangdong Fenghua Advanced Tech),0402B102K500NT,50V,±10%,1nF,X7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C43, C54",2,4.7uF,C_0402,,,,smt,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C23733,4366811,0.008USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A475MP5NRNC,10V,±20%,4.7uF,X5R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C44,1,220pF,C_0402,,,,smt,50V 220pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1530,427688,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",FH(Guangdong Fenghua Advanced Tech),0402B221K500NT,50V,±10%,220pF,X7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C51, C56",2,22uF,C_0603,,,,smt,6.3V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C59461,5081183,0.012USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A226MQ8NRNC,6.3V,±20%,22uF,X5R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,1,10nF,C_0402,,,,smt,50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15195,4779042,0.005USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B103KB5NNNC,50V,±10%,10nF,X7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D2, D4, D5",3,LED,LED_0603_1608Metric,,,,smt,Light emitting diode,C2286,,,,,,,,,KT-0603R,,,,,KT-0603R,1=K 2=A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLASH1, RESET1",2,"Tactile Button, 160gf",SW_TS-1088-AR02016,,,,smt,Without 50mA 4mm 100MΩ 100000 Times 12V 160gf 3mm 2mm Round Button Standing paste SPST SMD Tactile Switches ROHS,C720477,346801,0.044USD,SMT,5,4,Basic Component,"Switches,Tactile Switches",XUNPU,TS-1088-AR02016,,,,,,,4mm,12V,No,160gf@±50gf,Black,100000 Times,NO,SPST,2mm,Round Button,3mm,50mA,-30°C~+80°C,Brick nogging,100MΩ,SMDSplicing,,,,,,,,,,,,,,
J1,1,Micro_SD_Card_Det1,TF-SMD_TF-01A,,,,smt,Micro SD Card Socket with one card detection pin,C91145,,,,,,,,,TF-01A,,,,,TF-01A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,,,,smt,USB 2.0-only 14P Type-C Receptacle connector,C19274016,,,,,,,,,HC-TYPE-C-16P-3M2S,,,,,HC-TYPE-C-16P-3M2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J8,1,U.FL,IPEX-SMD_BWIPX-1-001E,,,,smt,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",C5137195,,,,,,,,,BWU.FL-IPEX1,,,,,BWU.FL-IPEX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,1,68nH,L_0402,,,,smt,Inductor,C32836,,,,,,,,,SDCL1005C68NJTDF,,,,,SDCL1005C68NJTDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R1, R33, R7",3,100kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS,C25741,6969783,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,100kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"R10, R30, R50, R54, R8",5,0Ω,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±800ppm/°C ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS,C17168,9510686,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF0000TCE,,±1%,,±800ppm/°C,,,,,,,,,,,,,,,,,,,0Ω,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"R11, R14, R16, R17, R22, R25, R31, R37, R4, R41, R49, R52, R53, R61, R62, R63, R72",17,10kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,C25744,24372091,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF1002TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,10kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
R12,1,470Ω,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 470Ω 0402 Chip Resistor - Surface Mount ROHS,C25117,1007760,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF4700TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,470Ω,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"R13, R42",2,5.1kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,C25905,3534773,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF5101TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,5.1kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,${REFERENCE},,,,,,,,
"R15, R20, R34, R35, R43, R44, R45, R46, R5, R55, R56, R57, R58, R59, R60, R64, R65",17,33Ω,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 33Ω 0402 Chip Resistor - Surface Mount ROHS,C25105,2122900,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF330JTCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,33Ω,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,${REFERENCE},,,,,,,,
"R18, R2",2,1kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,13226393,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF1001TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,1kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"R23, R40",2,47kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 47kΩ 0402 Chip Resistor - Surface Mount ROHS,C25792,1792808,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF4702TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,47kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
R32,1,510Ω,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 510Ω 0402 Chip Resistor - Surface Mount ROHS,C25123,2434473,0.004USD,SMT,20,12,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF5100TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,510Ω,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
R38,1,22kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 22kΩ 0402 Chip Resistor - Surface Mount ROHS,C25768,929397,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF2202TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,22kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"R47, R48",2,2.2kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 2.2kΩ 0402 Chip Resistor - Surface Mount ROHS,C25879,1767502,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF2201TCE,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,2.2kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
R51,1,13kΩ,R_0603,,,,smt,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 13kΩ 0603 Chip Resistor - Surface Mount ROHS,C22797,264187,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0603WAF1302T5E,,±1%,,±100ppm/°C,,,,,,,,,,,,,,,,,,,13kΩ,100mW,Thick Film Resistors,75V,-55°C~+155°C,,,,,,,,,
"R70, R71",2,100Ω,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±1% ±200ppm/°C 100Ω 0402 Chip Resistor - Surface Mount ROHS,C25076,5907585,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF1000TCE,,±1%,,±200ppm/°C,,,,,,,,,,,,,,,,,,,100Ω,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"SW1, SW2",2,EVQPUC02K,SW-SMD_EVQPUD02K,,,,smt,,C79174,,,,,,,,,EVQPUC02K,,,,,EVQPUC02K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U10,1,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,,,smt,"200mA Fixed 3.3V Positive electrode 6V SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",C5446,517770,0.103USD,SMT,5,2,Basic Component,"Power Management ICs,Linear Voltage Regulators (LDO)",Torex Semicon,XC6206P332MR-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.3V,680mV@(100mA),200mA,Fixed,6V,Positive electrode,Low ESR;Overcurrent Protection(OCP)
U12,1,TLV62569DBV,SOT-23-5,,,,smt,"High Efficiency Synchronous Buck Converter, Adjustable Output 0.6V-5.5V, 2A, SOT-23-5",C141836,,,,,,,,,TLV62569DBVR,,,,,TLV62569DBVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U14,1,MCP23017_ML,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,,,,smt,"16-bit I/O expander, I2C, interrupts, w pull-ups, GPA/B7 output only (https://microchip.my.site.com/s/article/GPA7---GPB7-Cannot-Be-Used-as-Inputs-In-MCP23017), QFN-28",C629439,,,,,,,,,MCP23017T-E/ML,,,,,MCP23017T-E/ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U17,1,RA-01SH-P,COMM-SMD_17P-L17.0-W16.0-P2.00_RA-01S-P,,,,smt,,C42420049,,,,,,,,,Ra-01SH-P,,,,,Ra-01SH-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U18,1,L76KB-A58,GPSM-SMD_18P-L10.1-W9.7-P1.10,,,,smt,,C2916234,,,,,,,,,L76KB-A58,,,,,L76KB-A58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U19,1,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,,,,smt,"Mono DAC with amplifier, I2S, PCM, TDM, 32-bit, 96khz, 3.2W, TQFP-16",C910544,,,,,,,,,MAX98357AETE+T,,,,,MAX98357AETE+T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U3,1,ICS-43432,SENSOR-SMD_ICS-43432,,,,smt,,C574021,,,,,,,,,ICS-43432,,,,,ICS-43432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U4,1,ESP32-S3-WROOM-1(N16R8),WIRELM-SMD_ESP32-S3-WROOM-1,,,,smt,,C2913202,,,,,,,,,ESP32-S3-WROOM-1(N16R8),,,,,ESP32-S3-WROOM-1(N16R8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U5,1,SK-12D02-VG5,SW-TH_SK-12D02-VG5,,,,tht,,C136722,,,,,,,,,SK-12D02-VG5,,,,,SK-12D02-VG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U6,1,USBLC6-2P6,SOT-666,,,,smt,"Very low capacitance ESD protection diode, 2 data-line, SOT-666",C15999,,,,,,,,,USBLC6-2P6,,,,,USBLC6-2P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7,1,BQ25185DLHR,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,,,,smt,,C19725033,,,,,,,,,BQ25185DLHR,,,,,BQ25185DLHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U8,1,TPS22917LDBV,SOT-23-6,,,,smt,"1V to 5.5V, 2A, 80mΩ Ultra-Low Leakage Load Switch, Active Low, SOT23-6",C3235537,,,,,,,,,TPS22917LDBVR,,,,,TPS22917LDBVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U9,1,MHCI04020-2R2M-R8,IND-SMD_L4.6-W4.1,,,,smt,,C142096,,,,,,,,,MHCI04020-2R2M-R8,,,,,MHCI04020-2R2M-R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
