pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
116.3,-113.6,-90.0,top,C1,,,C_0603,2.2uF,smt
116.65,-118.65,0.0,top,C13,,,C_0402,10uF,smt
125.3,-101.2,180.0,top,C15,,,C_0402,100nF,smt
117.75,-113.3,-90.0,top,C16,,,C_0402,100nF,smt
117.5,-82.2,90.0,top,C19,,,C_0402,1uF,smt
117.5,-108.9,90.0,top,C2,,,C_0603,10uF,smt
161.5,-112.85,90.0,top,C20,,,C_0402,10uF,smt
154.1,-76.35,90.0,top,C21,,,C_0402,100nF,smt
162.5,-112.85,90.0,top,C23,,,C_0402,100nF,smt
163.5,-112.85,90.0,top,C24,,,C_0402,33pF,smt
182.05,-113.2801,0.0,top,C27,,,C_0402,100pF,smt
180.56,-109.56,90.0,top,C28,,,C_0402,100pF,smt
179.45,-110.53,-90.0,top,C29,,,C_0402,100nF,smt
144.05,-107.22,90.0,top,C30,,,C_0402,100nF,smt
119.5,-115.6,-90.0,top,C34,,,C_0603,10uF,smt
122.4187,-107.3875,90.0,top,C35,,,C_0402,1nF,smt
172.3,-82.65,90.0,top,C36,,,C_0402,100nF,smt
116.375,-97.4,-90.0,top,C37,,,C_0603,10uF,smt
150.65,-94.05,0.0,top,C39,,,C_0402,100nF,smt
113.0,-83.0,90.0,top,C4,,,C_0402,10uF,smt
162.15,-110.2,-90.0,top,C40,,,C_0402,100nF,smt
157.0,-106.4,180.0,top,C41,,,C_0402,1uF,smt
115.05,-113.3,-90.0,top,C42,,,C_0402,1uF,smt
161.15,-110.2,90.0,top,C43,,,C_0402,4.7uF,smt
166.72,-121.56,90.0,top,C44,,,C_0402,220pF,smt
167.74,-121.56,90.0,top,C45,,,C_0402,1uF,smt
134.14,-115.07,-90.0,top,C46,,,C_0402,100nF,smt
133.1525,-115.0725,-90.0,top,C47,,,C_0402,10uF,smt
132.18,-115.07,-90.0,top,C48,,,C_0402,10uF,smt
159.55,-111.2,-90.0,top,C5,,,C_0402,1uF,smt
118.5,-82.2,-90.0,top,C50,,,C_0402,100nF,smt
115.55,-82.7,180.0,top,C51,,,C_0603,22uF,smt
159.25,-81.25,0.0,top,C52,,,C_0402,100nF,smt
113.45,-108.85,90.0,top,C53,,,C_0402,1uF,smt
115.83,-103.61,-90.0,top,C54,,,C_0402,4.7uF,smt
110.9,-83.3,180.0,top,C56,,,C_0603,22uF,smt
119.5,-84.4,-90.0,top,C57,,,C_0402,1uF,smt
120.85,-115.6,-90.0,top,C6,,,C_0603,10uF,smt
171.25,-82.65,90.0,top,C7,,,C_0402,10uF,smt
119.5,-82.2,90.0,top,C8,,,C_0402,10nF,smt
163.15,-110.2,-90.0,top,C9,,,C_0402,33pF,smt
115.4,-85.9,90.0,top,D2,,,LED_0603_1608Metric,LED,smt
115.2,-105.85,180.0,top,D4,,,LED_0603_1608Metric,LED,smt
110.45,-115.4,180.0,top,D5,,,LED_0603_1608Metric,LED,smt
178.16,-85.23,90.0,top,DNP2,,,C_0402,~,smt
181.5,-86.2,-90.0,top,DNP4,,,C_0402,~,smt
177.4,-113.8,-90.0,top,DNP6,,,C_0402,~,smt
180.55,-112.78,90.0,top,DNP7,,,C_0402,~,smt
156.44,-77.665,90.0,top,FLASH1,,,SW_TS-1088-AR02016,"Tactile Button, 160gf",smt
184.95,-121.29,0.0,top,H1,,,MountingHole_3mm,MountingHole,tht
108.88,-77.29,0.0,top,H2,,,MountingHole_3mm,MountingHole,tht
184.95,-77.29,0.0,top,H3,,,MountingHole_3mm,MountingHole,tht
108.87,-121.28,0.0,top,H4,,,MountingHole_3mm,MountingHole,tht
145.1,-114.75,0.0,top,J1,,,TF-SMD_TF-01A,Micro_SD_Card_Det1,smt
124.69,-122.35,0.0,top,J2,,,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,USB_C_Receptacle_USB2.0_14P,smt
156.58,-122.09,90.0,top,J3,,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04_Pin,tht
103.925,-115.8,180.0,top,J4,,,PinSocket_1x14_P2.54mm_Vertical,Conn_01x14_Pin,tht
184.975,-95.475,0.0,top,J6,,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04_Pin,tht
184.7,-113.3,0.0,top,J8,,,IPEX-SMD_BWIPX-1-001E,U.FL,smt
128.6175,-111.5775,90.0,top,JP3,,,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_3_Open,tht
182.21,-110.06,0.0,top,L2,,,L_0402,68nH,smt
115.539,-120.854,0.0,top,P1,,,CONN-TH_1.25T-1-2A,1_25T-1-2A,tht
133.4252,-120.9,0.0,top,P2,,,CONN-TH_1.25T-1-2A,1_25T-1-2A,tht
151.3,-79.3,0.0,top,R1,,,R_0402,100kΩ,tht
179.85,-85.75,0.0,top,R10,,,R_0402,0Ω,tht
174.3,-102.55,0.0,top,R11,,,R_0402,10kΩ,tht
114.0,-85.35,90.0,top,R12,,,R_0402,470Ω,tht
123.0,-116.12,90.0,top,R13,,,R_0402,5.1kΩ,tht
140.75,-105.55,90.0,top,R14,,,R_0402,10kΩ,tht
158.65,-117.4,-90.0,top,R15,,,R_0402,33Ω,tht
139.55,-107.5,-90.0,top,R16,,,R_0402,10kΩ,tht
146.05,-105.5,0.0,top,R17,,,R_0402,10kΩ,tht
