Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C15,C18,C19,C22,C32,C43",C_0402_1005Metric,C1525,8
0R,"L1,R23,R26,R27,R28,R29,R3,R30,R36,R9",R_0402_1005Metric,C17168,10
0Ω,R8,R_0402,C17168,1
1.4pF,"C12,C31",C_0402_1005Metric,C2181496,2
100kΩ,"R1,R33,R7",R_0402,C25741,3
100nF,"C23,C29,C30,C36,C46,C9",C_0402,C1525,6
100pF,"C27,C28",C_0402,C1546,2
10K,"R10,R11,R13,R14,R17,R21,R22,R31,R37",R_0402_1005Metric,C25744,9
10kΩ,"R4,R41,R49,R52,R53",R_0402,C25744,5
10nF,C40,C_0402_1005Metric,C15195,1
10uF,"C16,C17,C20,C25,C3,C47,C48,C49,C6,C7,C8",C_0402_1005Metric,C15525,11
10uF,C55,C_0603,C19702,1
10uF,C2,C_0603,C96446,1
12pF,"C33,C37,C38,C4",C_0402_1005Metric,C1547,4
13kΩ,R51,R_0603,C22797,1
150kΩ,R56,R_0603,C22807,1
1K,"R54,R55",R_0402_1005Metric,C11702,2
1_25T-1-2A,"P1,P2",CONN-TH_1.25T-1-2A,C10819,2
1nF,C35,C_0402,C1523,1
1uF,"C13,C26,C39,C41,C42,C45,C53",C_0402_1005Metric,C52923,7
2.2kΩ,"R38,R47,R48",R_0402,C25879,3
2.2uF,C1,C_0603,C23630,1
2.7nH,L6,L_0402_1005Metric,C27123,1
200K,"R12,R19",R_0402_1005Metric,C25764,2
220pF,C44,C_0402,C1530,1
22uF,C56,C_0603,C59461,1
2nH,L3,L_0402_1005Metric,C18216,1
300kΩ,R50,R_0603,C23024,1
32.768 kHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,1
330Ω,R6,R_0402,C25104,1
33R,"R18,R2",R_0402_1005Metric,C25105,2
33pF,C24,C_0402,C1562,1
33Ω,"R15,R20,R39,R40,R43,R44,R45,R46,R5",R_0402,C25105,9
4.7uF,"C5,C54",C_0402,C23733,2
4.7uH 3V,L7,L_Sunlord_MWSA0402S,C5349668,1
40MHz(10ppm),Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C5261125,1
470R,"R16,R25",R_0402_1005Metric,C25117,2
5.1K,"R34,R35",R_0402_1005Metric,C25905,2
510Ω,R32,R_0402,C25123,1
68nH,L2,L_0402_1005Metric,C32836,1
BQ25185DLHR,U7,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,C19725033,1
ESP32-S3,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,C2913194,1
EVQPUC02K,"SW1,SW2",SW-SMD_EVQPUD02K,C79174,2
HJ-SMA275,U15,SMA-SMD_BWSMA-KE-P001,C2693809,1
L76KB-A58,U18,GPSM-SMD_18P-L10.1-W9.7-P1.10,C2916234,1
LED,"D2,D3,D4,D5",LED_0603_1608Metric,C2286,4
MAX98357A,U19,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1
MC-121-L119,U11,USB-C-SMD_HANBO_MC-121-L119,C6332278,1
MCP23017_ML,U14,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,C629439,1
Micro_SD_Card_Det1,J1,TF-SMD_TF-01A,C91145,1
RA-01SH-P,U17,COMM-SMD_17P-L17.0-W16.0-P2.00_RA-01S-P,C42420049,1
SK-12D02-VG5,U5,SW-TH_SK-12D02-VG5,C136722,1
SPH0645LM4H,MK1,Knowles_SPH0645LM4H-6_3.5x2.65mm,C19272537,1
STLQ015M33R,U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C136154,1
TLV62569DBV,U12,SOT-23-5,C141836,1
TPS22917LDBV,U8,SOT-23-6,C3235537,1
"Tactile Button, 160gf","FLASH1,RESET1",SW_TS-1088-AR02016,C720477,2
U.FL,J8,IPEX-SMD_BWIPX-1-001E,C5137195,1
USBLC6-2P6,U6,SOT-666,C15999,1
W25Q128JVS,U2,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
Conn_01x14_Pin,J4,PinSocket_1x14_P2.54mm_Vertical,,1
Conn_01x04_Pin,J3,PinSocket_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J6,PinSocket_1x04_P2.54mm_Vertical,,1
Antenna,AE1,Texas_SWRA117D_2.4GHz_Left,,1
DNP,,C_0402_1005Metric,,0
~,,C_0402_1005Metric,,0
DNP,,L_0402_1005Metric,,0
~,,C_0402_1005Metric,,0
~,,C_0402_1005Metric,,0
~,,C_0402_1005Metric,,0
