Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603,113.7,-111.3,90.0,top
C10,0.1uF,C_0402_1005Metric,113.25,-89.48,180.0,top
C11,0.1uF,C_0402_1005Metric,130.46,-93.2,0.0,top
C12,1.4pF,C_0402_1005Metric,126.689411,-85.889411,135.0,top
C13,1uF,C_0402_1005Metric,134.02,-101.25,-90.0,top
C14,DNP,C_0402_1005Metric,132.77,-86.43,-45.0,top
C15,0.1uF,C_0402_1005Metric,159.2,-81.275,180.0,top
C16,10uF,C_0402_1005Metric,121.3,-111.85,180.0,top
C17,10uF,C_0402_1005Metric,116.37,-83.4425,90.0,top
C18,0.1uF,C_0402_1005Metric,122.6,-83.45,-90.0,top
C19,0.1uF,C_0402_1005Metric,125.8,-83.45,-90.0,top
C2,10uF,C_0603,116.0,-116.8,-90.0,top
C20,10uF,C_0402,166.749975,-116.349924,-90.0,top
C22,0.1uF,C_0402_1005Metric,121.3,-114.07,180.0,top
C23,100nF,C_0402,165.749975,-116.349924,-90.0,top
C24,33pF,C_0402,164.749975,-116.349924,-90.0,top
C25,10uF,C_0402_1005Metric,119.1,-83.35,-135.0,top
C26,1uF,C_0402_1005Metric,120.5,-83.35,-135.0,top
C27,100pF,C_0402,182.050025,-111.230076,0.0,top
C28,100pF,C_0402,180.55,-107.35,90.0,top
C29,100nF,C_0402,179.45,-108.4,-90.0,top
C3,10uF,C_0402_1005Metric,117.45,-83.45,90.0,top
C30,100nF,C_0402,144.05,-107.5,90.0,top
C31,1.4pF,C_0402_1005Metric,129.77,-83.78,90.0,top
C32,0.1uF,C_0402_1005Metric,135.12,-101.25,-90.0,top
C33,12pF,C_0402_1005Metric,138.385,-88.35,-90.0,top
C35,1nF,C_0402,122.4687,-105.8375,90.0,top
C36,100nF,C_0402,172.85,-82.3,90.0,top
C37,12pF,C_0402_1005Metric,111.01,-93.15,180.0,top
C38,12pF,C_0402_1005Metric,111.3,-90.92,-90.0,top
C39,1uF,C_0402_1005Metric,128.9706,-88.9106,0.0,top
C4,12pF,C_0402_1005Metric,133.705,-88.9,90.0,top
C40,10nF,C_0402_1005Metric,128.96,-87.9,0.0,top
C41,1uF,C_0402,161.070051,-114.810228,0.0,top
C42,1uF,C_0402,113.650025,-113.499962,180.0,top
C43,0.1uF,C_0402_1005Metric,145.115,-99.07,90.0,top
C44,220pF,C_0402,166.71,-121.485,90.0,top
C45,1uF,C_0402,167.73,-121.485,90.0,top
C46,100nF,C_0402,131.51,-109.8375,-90.0,top
C47,10uF,C_0402,130.5225,-109.84,-90.0,top
C48,10uF,C_0402,129.55,-109.8375,-90.0,top
C49,10uF,C_0402,132.97,-101.28,-90.0,top
C5,4.7uF,C_0402,161.149975,-108.449924,0.0,top
C53,1uF,C_0402,113.58016,-115.449962,180.0,top
C54,4.7uF,C_0402,116.05,-106.8,-90.0,top
C55,10uF,C_0603,116.6,-100.55,-90.0,top
C56,22uF,C_0603,110.1,-100.6,-90.0,top
C6,10uF,C_0402_1005Metric,121.3,-113.02,180.0,top
C7,10uF,C_0402,171.8,-82.3,90.0,top
C8,10uF,C_0402_1005Metric,111.45,-117.85,180.0,top
C9,100nF,C_0402,161.149975,-109.499924,0.0,top
D2,LED,LED_0603_1608Metric,110.15,-83.8,90.0,top
D3,LED,LED_0603_1608Metric,111.95,-83.85,-90.0,top
D4,LED,LED_0603_1608Metric,110.0625,-114.75,180.0,top
