Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna,
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,Buzzer,C7437070
"C1, C13, C26, C39",0402,4,1uF,C52923
"C10, C11, C15, C18, C19, C22, C32, C43",0402,8,0.1uF,C1525
"C12, C21",C_0603,2,22uF,C59461
"C14, L5",0402,2,DNP,
"C16, C17, C2, C25, C3, C42, C6, C8",0402,8,10uF,C15525
"C20, C5, C7",C_0402,3,10uF,C15525
"C23, C29, C30, C36, C9",C_0402,5,100nF,C1525
C24,C_0402,1,33pF,C1562
"C27, C28",C_0402,2,100pF,C1546
C31,0402,1,15pF,C1548
"C33, C37, C38, C4",0402,4,12pF,C1547
"C34, C41, C45",C_0402,3,1uF,C52923
C35,C_0402,1,1nF,C1523
C40,0402,1,10nF,C15195
C44,C_0402,1,220pF,C1530
"D1, D2, D3",0603,3,LED,C2286
D5,D_SOD-123,1,1N4148W,
"DNP1, DNP2, DNP4, DNP6, DNP7",0402,5,~,
"FLASH1, RESET1",SW_TS-1088-AR02016,2,"Tactile Button, 160gf",C720477
J1,TF-SMD_TF-01A,1,Micro_SD_Card_Det1,C91145
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinSocket_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
J5,PinSocket_1x07_P2.54mm_Horizontal,1,Conn_01x07_Pin,
J6,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J8,IPEX-SMD_BWIPX-1-001E,1,U.FL,C5137195
"L1, R23, R26, R27, R28, R29, R3, R30, R36, R9",0402,10,0R,C17168
L2,L_Sunlord_MWSA0402S,1,4.7uH 3V,C5349668
L3,0402,1,2nH,C77103
L4,L_0603,1,"68nH,300mA",C13415
L6,0402,1,4.7nH,C13595
Q2,Q_SOT-23,1,S8050,C364312
"R1, R10, R11, R13, R14, R17, R21, R22, R31, R37, R4",0402,11,10K,C25744
"R12, R19",0402,2,200K,C25764
R15,0402,1,1K,C11702
"R16, R24, R25",0402,3,470R,C25117
"R18, R2",0402,2,33R,C25105
"R20, R41, R42",R_0402,3,4.7kΩ,C25900
"R32, R7",R_0402,2,100kΩ,C25741
R33,R_0402,1,8.2kΩ,C25924
"R34, R35",0402,2,5.1K,C25905
"R38, R39, R40",R_0805,3,33Ω,C17634
R5,R_0402,1,330Ω,C25104
R6,R_0402,1,22kΩ,C25768
R8,R_0402,1,0Ω,C17168
"SW1, SW3",SW_SPST_CK_KMS2xxGP,2,CK_KMS2xxGP,
SW2,PinHeader_1x02_P2.54mm_Vertical,1,SW_DPST_x2,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,C2913194
U10,SOT-583-8,1,TPS2116DRL,
U11,GPSM-SMD_18P-L10.1-W9.7-P1.10,1,L76KB-A58,C2916234
U13,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23S17_ML,C147896
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23-5,1,TP4055,C28441
U4,USB-C-SMD_HANBO_MC-121-L119,1,MC-121-L119,C6332278
U5,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-01,C503593
U6,SOT-666,1,USBLC6-2P6,
U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,STLQ015M33R,C136154
U8,SOT-23-6,1,TPS22917LDBV,C3235537
U9,TSOT-23-6,1,AP63203WU,C780769
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,40MHz(10ppm),C5261125
