Designator,Mid X,Mid Y,Rotation,Layer
BZ1,175.4,-91.6,90.0,top
C1,122.4,-121.7,0.0,top
C10,118.99,-87.73,180.0,top
C11,136.74,-91.78,0.0,top
C12,118.55,-113.45,0.0,top
C13,132.85,-103.05,270.0,top
C15,158.35,-82.1,180.0,top
C16,115.94,-103.0,90.0,top
C17,112.5425,-110.93,180.0,top
C18,127.6,-83.4,225.0,top
C19,131.55,-83.4,45.0,top
C2,118.75,-121.1,180.0,top
C20,161.25,-113.7,90.0,top
C21,115.55,-113.45,180.0,top
C22,125.8,-116.0,180.0,top
C23,162.25,-113.7,90.0,top
C24,163.25,-113.7,90.0,top
C25,124.8,-83.4,225.0,top
C26,126.2,-83.4,225.0,top
C27,178.7,-113.15,0.0,top
C28,178.05,-110.5,90.0,top
C29,177.05,-110.5,90.0,top
C3,112.55,-109.85,180.0,top
C30,141.6,-118.3,270.0,top
C31,136.06,-82.82,270.0,top
C32,133.95,-103.05,270.0,top
C33,146.08,-86.52,270.0,top
C34,160.0,-111.95,270.0,top
C35,121.55,-105.8,270.0,top
C36,160.9,-83.6,315.0,top
C37,116.75,-91.4,180.0,top
C38,117.04,-89.17,270.0,top
C39,135.4,-86.5,315.0,top
C4,141.4,-87.07,90.0,top
C40,136.189411,-85.739411,315.0,top
C41,154.7,-111.95,270.0,top
C42,126.25,-103.5,90.0,top
C5,125.5233,-110.0733,270.0,top
C6,125.8,-114.95,180.0,top
C7,160.25,-84.25,315.0,top
C8,114.6,-104.6,90.0,top
C9,120.1108,-111.0733,90.0,top
D1,120.05,-123.0,0.0,top
D2,110.15,-83.8,90.0,top
D3,111.95,-83.85,270.0,top
D5,172.36,-100.14,0.0,top
FLASH1,155.59,-78.49,90.0,top
J1,129.22,-120.52,0.0,top
J2,115.0,-119.78,180.0,top
J3,172.92,-78.64,270.0,top
J4,104.1,-99.31,0.0,top
J6,185.1,-99.41,0.0,top
J7,159.055,-119.7,0.0,top
J8,184.8,-111.55,0.0,top
L1,166.25,-85.05,0.0,top
L2,116.6233,-110.3733,180.0,top
L3,129.6,-83.4,225.0,top
L4,180.1,-111.8,180.0,top
L6,134.97,-82.84,90.0,top
Q2,176.9875,-99.5825,180.0,top
R10,168.42,-103.09,270.0,top
R11,109.3,-103.35,270.0,top
R12,111.11,-117.7,180.0,top
R13,109.7,-90.45,180.0,top
R14,127.35,-115.45,270.0,top
R15,117.65,-122.85,270.0,top
R16,108.7,-84.385,90.0,top
R17,131.2,-115.7,270.0,top
R18,129.75,-112.54,90.0,top
R19,110.05,-116.65,180.0,top
R2,128.65,-112.53,90.0,top
R20,123.3,-118.15,270.0,top
R21,154.59,-82.15,180.0,top
R22,160.38,-82.1,0.0,top
R23,140.33,-87.06,90.0,top
R24,140.34,-89.99,0.0,top
R25,113.35,-83.4,270.0,top
R26,131.65,-96.6,315.0,top
R27,130.85,-97.35,315.0,top
R28,129.45,-95.5,315.0,top
R29,128.35,-95.9,315.0,top
R3,123.5,-108.2,0.0,top
R30,127.15,-96.25,315.0,top
R31,182.0,-93.1,0.0,top
R32,116.99,-103.0,270.0,top
R35,177.65,-118.3,180.0,top
R36,177.54,-112.05,180.0,top
R37,177.7,-120.9,180.0,top
R4,121.85,-97.95,270.0,top
R40,136.75,-90.8,0.0,top
R41,181.25,-103.95,270.0,top
R42,162.25,-116.45,180.0,top
R43,177.7,-122.1,180.0,top
R44,177.65,-119.5,180.0,top
R45,159.8,-116.45,180.0,top
R46,157.15,-116.45,0.0,top
R5,179.45,-101.05,90.0,top
R6,121.85,-99.95,90.0,top
R7,121.55,-103.5,270.0,top
R8,177.1,-108.35,270.0,top
R9,177.1,-113.65,90.0,top
RESET1,159.35,-78.5,90.0,top
SW2,185.15,-86.38,0.0,top
U1,129.51,-89.63,0.0,top
U10,116.54,-105.4,180.0,top
U11,170.45,-112.15,0.0,top
U2,139.36,-101.2275,90.0,top
U3,120.4125,-118.75,180.0,top
U4,117.5,-97.9,270.0,top
U5,158.74,-95.14,270.0,top
U6,129.2,-115.1,90.0,top
U7,157.45,-112.4,0.0,top
U8,123.81875,-104.6375,90.0,top
U9,122.8233,-110.6233,0.0,top
Y1,118.95,-90.25,270.0,top
Y2,143.7,-87.09,0.0,top
